osmid,direction,reversed,edge,geometry
5835930856,,False,"(16334344, 52183950, 0)",POINT (9.969473599999999 53.5502622)
9380037989,forward,False,"(3032426984, 25911709, 0)",POINT (9.969534599999998 53.54618980000001)
6745522400,,False,"(3032426962, 18130114, 0)",POINT (9.9721924 53.54537929999999)
5353106785,,False,"(8545043237, 1758886192, 0)",POINT (9.978131 53.5440778)
1703191975,forward,False,"(1758886192, 3228504539, 0)",POINT (9.9802304 53.54411609999999)
18130101,,False,"(3228504539, 18130101, 0)",POINT (9.9816788 53.544075400000004)
317355917,,False,"(18130101, 199166130, 0)",POINT (9.982426299999998 53.544182500000005)
242891817,,False,"(348093725, 242891817, 0)",POINT (9.9845651 53.5452912)
5353105109,,False,"(348093725, 242891817, 0)",POINT (9.9844904 53.5451935)
8126709846,forward,False,"(540212336, 243175300, 0)",POINT (9.9864464 53.5474812)
6695848610,forward,False,"(27140876, 230542924, 0)",POINT (9.987389299999998 53.54852749999999)
6187759215,,False,"(1983285273, 8827815037, 0)",POINT (9.9858921 53.550896300000005)
8827756686,forward,False,"(1983285273, 8827815037, 0)",POINT (9.9857867 53.5517389)
8827815112,forward,False,"(8827815113, 36685306, 0)",POINT (9.985642799999999 53.552159399999994)
638623371,,False,"(259235616, 16738089, 0)",POINT (9.984253099999998 53.5555157)
1524487551,,False,"(16738089, 18653570, 0)",POINT (9.9842473 53.5557686)
5829132342,,False,"(18653534, 32206485, 0)",POINT (9.983890899999999 53.55748559999999)
5590005695,,False,"(32206485, 32206479, 0)",POINT (9.9886516 53.5581668)
6390683132,forward,False,"(266199070, 266199067, 0)",POINT (9.9928527 53.557611900000005)
1966837175,,False,"(266199063, 266197536, 0)",POINT (9.994167299999999 53.55841709999999)
6390683113,,False,"(266197525, 1562406613, 0)",POINT (9.9937702 53.558841099999995)
5077329243,,False,"(1562406613, 16738072, 0)",POINT (9.9909759 53.56039869999999)
5077329345,,False,"(1687916277, 238019098, 0)",POINT (9.9902124 53.561316)
3105692077,,False,"(16712095, 294110564, 0)",POINT (9.9887969 53.56204840000001)
3105692095,,False,"(294110564, 305103772, 0)",POINT (9.9848967 53.56395209999999)
8959719201,backward,True,"(426778897, 5077329212, 0)",POINT (9.982242899999997 53.5641487)
638597525,,False,"(299207651, 5077328711, 0)",POINT (9.977639599999998 53.56430509999999)
638728116,,False,"(2588659091, 2588659084, 0)",POINT (9.976011599999998 53.562497500000006)
4379571781,,False,"(2588659078, 1524336663, 0)",POINT (9.975614299999998 53.5611468)
4379571779,,False,"(1524336663, 1524336655, 0)",POINT (9.9755594 53.560923299999985)
4379572166,,False,"(1524336663, 1524336655, 0)",POINT (9.9754885 53.5605202)
4379572163,,False,"(1524336655, 267262860, 0)",POINT (9.975468 53.56029680000001)
638728111,,False,"(312938329, 2588659056, 0)",POINT (9.9765884 53.557715599999995)
6985206128,forward,False,"(312938329, 2588659056, 0)",POINT (9.9757004 53.558489200000004)
6985206133,forward,False,"(677709179, 7250179900, 0)",POINT (9.9754758 53.5565729)
8024968390,backward,True,"(677709137, 218172662, 0)",POINT (9.9701495 53.5510552)
